Starting vision analysis (1 photo at a time)
============================================================
SKIP _MG_4076.jpg (failed, 1 total skipped)
OK    1 | score=9 | 303 left | _MG_4025-Pano.jpg
OK    2 | score=8 | 302 left | _MG_3992.jpg
OK    3 | score=8 | 301 left | _MG_3977.jpg
OK    4 | score=7 | 300 left | _MG_3975.jpg
OK    5 | score=7 | 299 left | _MG_3973.jpg
OK    6 | score=7 | 298 left | _MG_3959.jpg
OK    7 | score=8 | 297 left | _MG_3951.jpg
OK    8 | score=7 | 296 left | _MG_3934.jpg
OK    9 | score=8 | 295 left | _MG_2508.jpg
OK   10 | score=8 | 294 left | _MG_2487.jpg
OK   11 | score=9 | 293 left | _MG_2486.jpg
OK   12 | score=8 | 292 left | _MG_2413.jpg
OK   13 | score=8 | 291 left | _MG_2395.jpg
OK   14 | score=9 | 290 left | _MG_2366.jpg
OK   15 | score=7 | 289 left | _MG_2311.jpg
OK   16 | score=8 | 288 left | _MG_2270.jpg
OK   17 | score=7 | 287 left | _MG_2190.jpg
OK   18 | score=8 | 286 left | _MG_2182.jpg
OK   19 | score=7 | 285 left | Wolf 738.jpg
OK   20 | score=8 | 284 left | Wolf 681.jpg
OK   21 | score=6 | 283 left | Wolf 647.jpg
OK   22 | score=7 | 282 left | Wolf 636.jpg
OK   23 | score=8 | 281 left | 9Y8A2905.jpg
OK   24 | score=8 | 280 left | 9Y8A2890.jpg
OK   25 | score=8 | 279 left | 9Y8A2865.jpg
OK   26 | score=7 | 278 left | 9Y8A2835.jpg
OK   27 | score=6 | 277 left | 9Y8A2827.jpg
OK   28 | score=7 | 276 left | 118A2411.jpg
OK   29 | score=8 | 275 left | 118A2361.jpg
OK   30 | score=7 | 274 left | 118A2261.jpg
OK   31 | score=8 | 273 left | 118A2258.jpg
OK   32 | score=7 | 272 left | 118A2240.jpg
OK   33 | score=8 | 271 left | Wolf 2464.jpg
OK   34 | score=9 | 270 left | Wolf 2463.jpg
OK   35 | score=8 | 269 left | Wolf 2455.jpg
OK   36 | score=9 | 268 left | Wolf 2451.jpg
OK   37 | score=9 | 267 left | Wolf 2426.jpg
OK   38 | score=9 | 266 left | Wolf 2424.jpg
OK   39 | score=9 | 265 left | Wolf 2421.jpg
OK   40 | score=8 | 264 left | Wolf 2413.jpg
OK   41 | score=9 | 263 left | _MG_7653.jpg
OK   42 | score=8 | 262 left | _MG_7613.jpg
OK   43 | score=9 | 261 left | _MG_4193.jpg
OK   44 | score=8 | 260 left | Wolf 1560.jpg
OK   45 | score=8 | 259 left | _MG_0508.jpg
SKIP Wolf 5019.jpg (failed, 2 total skipped)
SKIP Wolf 5017.jpg (failed, 3 total skipped)
SKIP Wolf 5014.jpg (failed, 4 total skipped)
SKIP Wolf 5012.jpg (failed, 5 total skipped)
SKIP Wolf 5004.jpg (failed, 6 total skipped)
SKIP Wolf 5000.jpg (failed, 7 total skipped)
SKIP Wolf 4999.jpg (failed, 8 total skipped)
SKIP Wolf 4997.jpg (failed, 9 total skipped)
SKIP Wolf 4994.jpg (failed, 10 total skipped)
SKIP Wolf 4991.jpg (failed, 11 total skipped)
OK   46 | score=8 | 248 left | Wolf 183.jpg
OK   47 | score=8 | 247 left | Wolf 1646.jpg
OK   48 | score=8 | 246 left | WOLF2432.jpg
OK   49 | score=7 | 245 left | IMG_0151 (2).jpg
OK   50 | score=7 | 244 left | IMG_0051.jpg
OK   51 | score=8 | 243 left | Wolf 801.jpg
OK   52 | score=8 | 242 left | Wolf 793.jpg
OK   53 | score=8 | 241 left | Wolf 792.jpg
OK   54 | score=8 | 240 left | Wolf 790.jpg
OK   55 | score=8 | 239 left | Wolf 5226.jpg
OK   56 | score=8 | 238 left | Wolf 5221.jpg
OK   57 | score=8 | 237 left | Wolf 5218.jpg
OK   58 | score=7 | 236 left | Wolf 2263.jpg
OK   59 | score=8 | 235 left | 118A0122.jpg
OK   60 | score=7 | 234 left | 118A0118.jpg
OK   61 | score=6 | 233 left | 118A0115.jpg
OK   62 | score=6 | 232 left | 118A0113.jpg
OK   63 | score=9 | 231 left | _MG_0953.jpg
OK   64 | score=7 | 230 left | 118A2772.jpg
OK   65 | score=7 | 229 left | 118A2763.jpg
OK   66 | score=9 | 228 left | 118A2696.jpg
OK   67 | score=9 | 227 left | 118A2655.jpg
OK   68 | score=8 | 226 left | 118A2649.jpg
OK   69 | score=9 | 225 left | 118A2555.jpg
OK   70 | score=8 | 224 left | 118A2536.jpg
OK   71 | score=9 | 223 left | 118A2532-Enhanced-NR.jpg
OK   72 | score=8 | 222 left | 118A2264.jpg
OK   73 | score=8 | 221 left | 118A2056.jpg
OK   74 | score=8 | 220 left | 118A1989-Enhanced-NR.jpg
